SN,Paper Title,Domain,Year,cluster,umap_x,umap_y,cited_by_count,is_oa,oa_status
84,Fairness in Large Language Models: A Taxonomic Survey,LLMs & NLP,2023,2,5.137743,2.584164,54,False,closed
85,Survey on Factuality in Large Language Models: Knowledge Retrieval and Domain-Specificity,LLMs & NLP,2024,4,4.1281404,3.609292,53,True,green
86,A Survey of Large Language Models in Medicine: Progress Application and Challenge,LLMs & NLP,2023,0,2.2680912,2.2423065,37,True,green
87,Creating Trustworthy LLMs: Dealing with Hallucinations in Healthcare AI,LLMs & NLP,2023,0,2.060186,2.0916574,17,True,green
88,Risk Taxonomy Mitigation and Assessment Benchmarks of Large Language Model Systems,LLMs & NLP,2023,4,3.9100544,3.5337238,13,True,green
89,Large Language Models in Healthcare and Medical Domain: A Review,LLMs & NLP,2024,4,2.4320345,2.2902722,321,True,gold
92,Intentional Biases in LLM Responses,LLMs & NLP,2023,2,5.11605,3.1011713,9,False,closed
94,Bias in data-driven artificial intelligence systems—An introductory survey (2nd entry),Graph-Based Fairness & Bias Mitigation,2020,1,3.845521,0.108871534,976,True,hybrid
95,Contextual knowledge graph approach to bias-reduced decision support systems,Graph-Based Fairness & Bias Mitigation,2024,7,4.8929095,-0.25029498,5,True,bronze
96,Detecting and Mitigating Bias in LLMs through Knowledge Graph-Augmented Training,Graph-Based Fairness & Bias Mitigation,2025,2,5.836597,2.5148172,0,True,green
97,StereoKG: Data-Driven Knowledge Graph Construction For Cultural Knowledge and Stereotypes,Graph-Based Fairness & Bias Mitigation,2022,2,5.4942117,2.7290967,8,True,gold
98,Visual Affect Around the World,Graph-Based Fairness & Bias Mitigation,2015,6,4.016466,2.5092,96,True,gold
99,Semantics of the Black-Box: Can knowledge graphs help make deep learning systems more interpretable and explainable?,Graph-Based Fairness & Bias Mitigation,2020,6,3.545526,1.5785675,0,True,green
100,Leveraging Structural Causal Models for Bias Detection and Feature Adjustment in Machine Learning Predictions,Graph-Based Fairness & Bias Mitigation,2024,7,5.2321863,-0.2298423,1,False,closed
101,Gender Bias Analysis in Commonsense Knowledge Graph Embeddings,Graph-Based Fairness & Bias Mitigation,2023,2,6.150603,2.1594908,1,False,closed
102,Towards Engineering Fair Ontologies: Unbiasing a Surveillance Ontology,Graph-Based Fairness & Bias Mitigation,2021,1,4.098614,0.22245845,5,False,closed
103,Personalized Recommender System for Improving Gender-fairness in Teaching,Recommender Systems,2019,5,8.254148,1.8517231,1,False,closed
104,Fairness and Bias in E-commerce Recommendation Systems: A Literature Review,Recommender Systems,2024,5,9.075834,2.2290719,1,False,closed
105,De-Biasing user conformity bias and item popularity bias in Group recommendation,Recommender Systems,2023,5,9.063642,2.2094905,7,False,closed
106,DF-CDR: A Unified Framework for Dual Fairness in Cross-Domain Recommendation Systems,Recommender Systems,2025,5,8.050196,1.9039723,0,False,closed
107,"Enhancing Netflix's Recommendation System: A Hybrid AI Approach for Personalization, Bias Reduction, and Engagement Optimization",Recommender Systems,2025,5,7.9783435,2.1704628,0,False,closed
108,Properly Scoring Users' Mainstreamness to Evaluate Recommendation Bias,Recommender Systems,2023,5,8.959258,2.1508694,0,False,closed
109,A Bias Aware News Recommendation System,Recommender Systems,2019,5,7.8531914,2.6883886,1,True,green
110,Cross-Modality Bias Auditing and Fairness Evaluation in Generalist Clinical AI Models,Health & Clinical AI,2025,3,0.99658734,0.751522,0,False,closed
111,A Survey of Bias and Fairness in Healthcare AI,Health & Clinical AI,2024,3,1.5291471,0.9946605,8,False,closed
112,The Problem Of Data Bias In Healthcare AI,Health & Clinical AI,2024,7,4.928971,0.34183785,2,False,closed
113,Gradient-Based Reconciliation of Fairness and Performance in Healthcare AI,Health & Clinical AI,2025,3,0.8667992,0.55279523,0,False,closed
114,"Integrated Framework for Equitable Healthcare AI: Bias Mitigation, Community Participation, and Regulatory Governance",Health & Clinical AI,2025,3,0.86556816,0.5430183,0,False,closed
115,Racial Bias in Multimodal Classification of Healthcare Data - Evidence from MIMIC-IV,Health & Clinical AI,2025,3,1.2846963,0.43064052,0,False,closed
116,Fairness Metrics in AI Healthcare Applications: A Review,Health & Clinical AI,2024,3,0.7272471,0.7847382,10,False,closed
117,Enhancing Multi-Attribute Fairness in Healthcare Predictive Modeling,Health & Clinical AI,2025,3,0.784914,0.54521203,0,False,closed
118,De-Biased Disentanglement Learning for Pulmonary Embolism Survival Prediction on Multimodal Data,Health & Clinical AI,2024,3,1.1244211,0.43893874,2,False,closed
119,Mitigating Racial Bias in Skin Lesion Classification with a Novel Deep Learning-Driven Dataset,Health & Clinical AI,2025,6,1.3884685,-0.22071287,0,False,closed
120,"Underrepresented Tones: Addressing Skin Bias in Medical Imaging for Eczema, Psoriasis, and Melanoma Detection Using CNNs",Health & Clinical AI,2023,3,1.3999907,-0.07775337,4,False,closed
121,Assessing Bias Within Diabetes Risk Prediction in Machine Learning Techniques,Health & Clinical AI,2025,3,0.44881496,1.0082885,0,False,closed
122,fair-LDP: Uncertainty-Guided Fairness and Privacy for Federated Healthcare Learning,Health & Clinical AI,2025,3,1.8842914,0.5394653,0,False,closed
123,Addressing Algorithmic Bias in Diabetes Care: A Multi-Modal Machine Learning Framework for Equitable Readmission Prediction,Health & Clinical AI,2025,3,0.560895,0.7420672,0,False,closed
124,FairCLIP: Harnessing Fairness in Vision-Language Learning,Health & Clinical AI,2024,3,0.7500725,0.15357518,39,False,closed
125,AGR: Age Group fairness Reward for Bias Mitigation in LLMs,LLMs & NLP,2025,7,5.7133317,0.68675554,2,False,closed
126,Causal Mitigation of Pink Tax: Intersectional Bias Reduction in LLMs,LLMs & NLP,2025,2,5.945693,3.251142,0,False,closed
127,Evaluating Bias Detection and Mitigation Approaches Across Classical and Large Language Models,LLMs & NLP,2026,7,5.148268,2.0283816,0,True,gold
128,Leveraging Large Language Models for Bias Detection and Mitigation in Data Analytics Models,LLMs & NLP,2025,2,5.59925,2.097638,2,False,closed
129,ThaiSBi: A Thai Social Bias Dataset for Large Language Model,LLMs & NLP,2025,2,5.093385,2.6617038,0,False,closed
130,Fairness in AI: Evaluating and Mitigating Bias in Decision-Making Models,LLMs & NLP,2025,1,2.7443404,-0.23260608,0,False,closed
132,Exploring Bias Evaluation Techniques for Quantifying Large Language Model Biases,LLMs & NLP,2023,2,5.3126693,3.5677674,4,False,closed
133,Mitigating Bias in Large Language Models Through Culturally-Relevant LLMs,LLMs & NLP,2025,2,5.457273,2.888644,1,False,closed
134,Probing into the Fairness of Large Language Models: A Case Study of ChatGPT,LLMs & NLP,2024,7,4.1411343,-0.2553477,5,False,closed
135,Leveraging Multiple LLM Evaluators for Scalable and Fair Language Model Assessments,LLMs & NLP,2025,4,4.316704,3.7905426,33,False,closed
137,Bias Detection and Mitigation in Large Language Models for Code Generation,LLMs & NLP,2025,4,4.702641,1.7054305,0,False,closed
138,Applying Prompt-Based Mitigation of Gender-Role Bias in Large Language Models for Security,LLMs & NLP,2025,2,5.862044,3.12237,0,False,closed
139,Behind the Words: Unmasking Bias Lurking in LLMs and Data,LLMs & NLP,2025,2,5.2448893,3.2944171,0,False,closed
140,Deep Learning Approach for Evaluating Fairness in LLMs,LLMs & NLP,2025,2,5.071001,3.5318863,2,False,closed
141,Comparative Study of Large Language Model Evaluation Frameworks with a Focus on NLP vs LLM-As-A-Judge Metrics,LLMs & NLP,2025,4,4.232502,3.7954707,2,False,closed
142,Auditing Demographic Bias in Mistral: An Open-Source LLM's Diagnostic Performance on the MedQA Benchmark,LLMs & NLP,2026,0,1.3799069,1.945322,0,True,gold
143,A Vision for Debiasing Confirmation Bias in Software Testing via LLM,LLMs & NLP,2025,4,4.744417,2.4560866,0,False,closed
144,Measuring and Mitigating Gender Entropy Bias in Large Language Models,LLMs & NLP,2025,2,5.5543914,3.4011364,0,False,closed
145,Spoken Stereoset: on Evaluating Social Bias Toward Speaker in Speech Large Language Models,LLMs & NLP,2024,2,5.304595,3.5751543,5,False,closed
146,Position Bias Across LLM Model Families,LLMs & NLP,2025,4,4.467001,3.5206547,0,False,closed
147,Knowledge Graph-Based Diversified Recommendation,Graph-Based Fairness & Bias Mitigation,2025,5,7.854357,1.7934918,0,True,gold
148,Bursting the Filter Bubble with Knowledge Graph Inversion,Graph-Based Fairness & Bias Mitigation,2025,5,8.2725935,2.228873,3,True,gold
149,An Ontology for Fairness Metrics,Graph-Based Fairness & Bias Mitigation,2022,7,5.334408,-0.18773948,31,False,closed
150,Towards an Ontology-Driven Approach to Document Bias,Graph-Based Fairness & Bias Mitigation,2025,1,3.7656593,1.0336195,1,True,diamond
151,Fair-RGNN: Mitigating Relational Bias on Knowledge Graphs,Graph-Based Fairness & Bias Mitigation,2024,6,7.2027645,1.192482,1,True,bronze
152,Knowledge-Enhanced Language Models Are Not Bias-Proof: Situated Knowledge and Epistemic Injustice in AI,Graph-Based Fairness & Bias Mitigation,2024,2,5.329298,3.134108,21,True,gold
153,Bias-Aware Agent: Enhancing Fairness in AI-Driven Knowledge Retrieval,Graph-Based Fairness & Bias Mitigation,2025,4,4.1589494,2.624492,4,True,green
154,FnRGNN: Distribution-aware Fairness in Graph Neural Network,Graph-Based Fairness & Bias Mitigation,2025,7,7.5416994,0.79742736,0,True,gold
155,Fairness-Aware Graph Learning: A Benchmark,Graph-Based Fairness & Bias Mitigation,2025,7,7.547562,0.6844712,0,True,gold
156,Can We Trust Recommender System Fairness Evaluation? The Role of Fairness and Relevance,Recommender Systems,2024,5,8.781818,1.7116052,5,True,green
158,Fairness and Transparency in Music Recommender Systems: Improvements for Artists,Recommender Systems,2024,5,8.633754,2.1360793,0,True,gold
159,"Understanding Biases in ChatGPT-based Recommender Systems: Provider Fairness, Temporal Stability, and Recency",Recommender Systems,2024,5,8.481183,1.8755201,35,True,bronze
160,Unmasking Gender Bias in Recommendation Systems and Enhancing Category-Aware Fairness,Recommender Systems,2025,5,7.8126483,2.2120779,5,True,gold
161,No Bias Left Behind: Fairness Testing for Deep Recommender Systems Targeting General Disadvantaged Groups,Recommender Systems,2025,5,8.36163,1.9949675,0,True,hybrid
162,A Reproducibility Study of Product-side Fairness in Bundle Recommendation,Recommender Systems,2025,5,8.657898,1.7116867,0,True,gold
163,CFaiRLLM: Consumer Fairness Evaluation in Large-Language Model Recommender System,Recommender Systems,2025,5,8.504939,1.6778562,23,True,hybrid
164,Dynamic Fairness-aware Recommendation Through Multi-agent Social Choice,Recommender Systems,2024,5,8.493236,1.4417164,9,True,hybrid
165,FairCRS: Towards User-oriented Fairness in Conversational Recommendation Systems,Recommender Systems,2024,5,8.476636,1.8601667,5,True,gold
166,Shift your Focus for the Greater Good: Improving Fairness at no cost for Accuracy and Diversity in News Recommender Systems,Recommender Systems,2026,5,8.394645,2.1417842,0,False,closed
167,"Accuracy, Fairness, Diversity All at Once: An Influence-Function-Guided Data Enhancement Approach for Recommender System",Recommender Systems,2025,5,8.280916,2.1452038,0,False,closed
168,Balancing Fairness and High Match Rates in Reciprocal Recommender Systems: A Nash Social Welfare Approach,Recommender Systems,2026,5,8.5761385,1.5061285,0,True,hybrid
169,Relevance-aware Individual Item Fairness Measures for Recommender Systems: Limitations and Usage Guidelines,Recommender Systems,2025,5,8.726807,1.6659535,1,True,hybrid
170,When Fairness meets Bias: a Debiased Framework for Fairness aware Top-N Recommendation,Recommender Systems,2023,5,8.530255,1.9953502,27,False,closed
171,On Inherited Popularity Bias in Cold-Start Item Recommendation,Recommender Systems,2025,5,8.038267,2.1133106,0,True,green
172,Opening the Black Box: Interpretable Remedies for Popularity Bias in Recommender Systems,Recommender Systems,2025,5,7.9419293,2.091792,0,True,gold
173,Rewriting Bias: Automated Rewriting to Reduce Media Bias Polarisation in News Recommender Systems,Recommender Systems,2025,2,6.7165923,2.9252846,0,True,hybrid
174,Investigating User-Side Fairness in Outcome and Process for Multi-Type Sensitive Attributes in Recommendations,Recommender Systems,2025,5,8.168252,1.6195269,1,True,hybrid
175,Long-term Dynamics of Fairness Intervention in Connection Recommender Systems,Recommender Systems,2022,5,8.71236,1.4017235,13,True,gold
176,Enhancing Data Diversity and Traceability to Mitigate Bias in Healthcare AI: A Blockchain-Driven Approach,Health & Clinical AI,2024,1,2.2463975,0.41765922,2,True,gold
177,Addressing Bias and Ensuring Fairness in AI Systems for Healthcare,Health & Clinical AI,2025,3,0.98483014,0.97767276,1,True,gold
178,Inherent Bias in Electronic Health Records: A Scoping Review of Sources of Bias,Health & Clinical AI,2025,3,1.1714784,1.3206061,8,False,closed
179,"An Agentic Framework for Compliant, Ethical and Trustworthy GenAI Applications in Healthcare",Health & Clinical AI,2025,3,2.0905278,0.7031533,3,True,gold
180,Fair Foundation Models for Medical Image Analysis: Challenges and Perspectives,Health & Clinical AI,2026,3,1.5711354,0.6958986,2,False,closed
183,Investigating Perception of Gender Stereotypes in Large Language Models: A Computational Grounded Theory Approach,LLMs & NLP,2025,2,5.6300654,2.9208834,1,False,closed
184,Indian-BhED: A Dataset for Measuring India-Centric Biases in Large Language Models,LLMs & NLP,2024,2,5.3673267,3.5373394,11,False,closed
185,Unmasking Bias in Financial AI: A Robust Framework for Evaluating and Mitigating Hidden Biases in LLMs,LLMs & NLP,2025,4,4.7824507,3.420947,1,False,closed
186,Fairness of Large Language Models in Education,LLMs & NLP,2024,2,5.211217,2.2140746,6,False,closed
187,EVENS: Equality versus Equity Notion Spectrum of LLMs,LLMs & NLP,2025,7,4.214234,-0.43126467,0,True,gold
188,The Root Shapes the Fruit: On the Persistence of Gender-Exclusive Harms in Aligned Language Models,LLMs & NLP,2025,2,5.8034987,3.283084,4,True,gold
192,Implications of algorithmic bias in AI-driven emergency response systems,General Fairness & Bias Mitigation,2025,3,0.9840289,0.9399387,0,True,diamond
193,The Butterfly Effect in artificial intelligence systems: Implications for AI bias and fairness,General Fairness & Bias Mitigation,2024,1,4.8088555,0.026802193,93,True,gold
194,Algorithmic bias: Social science research integration through the 3-D Dependable AI Framework,General Fairness & Bias Mitigation,2024,1,3.8537889,-0.7166113,15,True,hybrid
196,Towards early detection of algorithmic bias from dataset's bias symptoms: An empirical study,General Fairness & Bias Mitigation,2025,7,4.7848125,0.27727485,1,True,hybrid
197,Human-Centric AI to Mitigate AI Biases,General Fairness & Bias Mitigation,2023,1,2.8866537,0.36265278,32,True,diamond
198,"Teaching AI awareness in middle school classrooms: Design, implementation and evaluation of two education modules on algorithmic bias and filter bubbles",General Fairness & Bias Mitigation,2025,1,3.6502345,-0.2150995,3,True,gold
201,Evaluating Algorithmic Bias in 30-Day Hospital Readmission Models: Retrospective Analysis,Health & Clinical AI,2024,3,0.6114271,1.0473497,6,True,gold
203,Rethinking fairness in unsupervised healthcare AI: A methodological scoping review,Health & Clinical AI,2026,3,0.49404708,0.69050413,0,True,hybrid
205,Toward fair medical advice: Addressing and mitigating bias in large language model-based healthcare applications,Health & Clinical AI,2025,2,4.809034,3.2798069,2,True,hybrid
206,Meta-Fair: AI-assisted fairness testing of large language models,LLMs & NLP,2026,4,4.9610043,2.2066908,1,True,hybrid
207,A resource-efficient framework for cultural alignment in large language models (LLMs): The Chinese context,LLMs & NLP,2026,4,5.057445,2.8361232,0,True,hybrid
208,"Diagnosing the bias iceberg in large language models: A three-level framework of explicit, evaluative, and implicit gender bias",LLMs & NLP,2025,2,5.404185,3.6052215,4,True,hybrid
210,Fairness and social bias quantification in Large Language Models for sentiment analysis,LLMs & NLP,2025,2,5.5014024,3.0844462,9,True,hybrid
211,"Implicit Gender, Racial, and Ethnic Biases in Large Language Models: An Audit Study of Automated Psychiatric Diagnoses",LLMs & NLP,2026,0,1.339335,2.0697818,0,True,diamond
226,FAIR-MED: Bias Detection and Fairness Evaluation in Healthcare Focused XAI,Health & Clinical AI,2025,3,0.47297597,0.59893864,1,True,hybrid
227,From Ethical Declarations to Provable Independence: An Ontology-Driven Optimal-Transport Framework for Certifiably Fair AI Systems,Graph-Based Fairness & Bias Mitigation,2025,7,4.729253,-0.25420806,0,True,green
233,EqStruct-GNN: toward fair recommendation via debiased graph structure learning,Recommender Systems,2025,5,7.645726,0.867977,0,False,closed
234,The Impact of Popularity Bias and Perceived Fairness on Intention to Use Recommender System in Indonesian E-Commerce,Recommender Systems,2026,5,9.026999,2.2665503,0,False,closed
235,Fairness Aware Regularization on a Learning-to-Rank Recommender System for Controlling Popularity Bias in E-Commerce Domain,Recommender Systems,2018,5,9.0450945,2.2462242,12,False,closed
236,A Dual-Adversarial Learning Framework with Explicit Constraints for Two-Sided Fairness in Recommendation System,Recommender Systems,2026,5,7.966459,1.9323257,0,True,diamond
237,A scoping review and evidence gap analysis of clinical AI fairness,Health & Clinical AI,2025,3,0.95443684,0.80375445,29,True,gold
239,Biased AI: A Case for Positive Bias in Healthcare AI,Health & Clinical AI,2025,3,1.1057614,0.8270961,1,True,hybrid
240,"Governing Healthcare AI in the Real World: How Fairness, Transparency, and Human Oversight Can Coexist",Health & Clinical AI,2026,1,2.131527,0.86815125,3,True,gold
241,Mitigating Data Bias in Healthcare AI with Self-Supervised Standardization,Health & Clinical AI,2025,3,1.6258291,0.3278052,1,False,closed
243,BiasFreeBench: a Benchmark for Mitigating Bias in Large Language Model Responses,LLMs & NLP,2025,4,4.7986536,3.405217,0,True,green
244,Ethical perspectives on deployment of large language model agents in biomedicine: a survey,LLMs & NLP,2025,1,2.4830496,0.9767463,0,True,hybrid
246,Mitigating Nonlinear Algorithmic Bias in Binary Classification,General Fairness & Bias Mitigation,2024,7,6.2191257,0.08823986,2,True,green
248,Aggregating Concepts of Fairness and Accuracy in Prediction Algorithms,General Fairness & Bias Mitigation,2025,7,5.666456,-0.7136163,0,True,gold
250,Mitigating Algorithmic Bias in Multiclass CNN Classifications Using Causal Modeling,General Fairness & Bias Mitigation,2025,7,6.35218,0.18076621,1,False,closed
251,Post-processing methods for mitigating algorithmic bias in healthcare classification models: An extended umbrella review,Health & Clinical AI,2025,3,0.69118476,1.4385723,3,True,diamond
252,"Whither bias goes, I will go: An integrative, systematic review of algorithmic bias mitigation",General Fairness & Bias Mitigation,2024,7,4.548407,0.5303777,16,True,green
253,Detecting and Mitigating Algorithmic Bias in Automated Hiring Systems Using Fairness Constraints,General Fairness & Bias Mitigation,2025,7,4.4735928,0.4845554,0,False,closed
254,Public Perceptions of Algorithmic Bias and Fairness in Cloud-Based Decision Systems,General Fairness & Bias Mitigation,2025,1,2.515835,0.26661977,1,True,diamond
255,Towards Ethical AI: Bias Detection and Mitigation in AI Models for Recruitment Systems and Criminal Justice Systems,General Fairness & Bias Mitigation,2025,1,3.81076,-0.29021224,1,False,closed
256,Algorithmic Bias Detection: A Focus on Skin Tone and Gender Fairness in AI Models,General Fairness & Bias Mitigation,2025,7,1.5417293,-0.4510132,1,False,closed
257,Large Language Model Bias Mitigation from the Perspective of Knowledge Editing,LLMs & NLP,2024,7,5.7693906,0.67188895,0,True,green
258,Mitigating the Bias of Large Language Model Evaluation,LLMs & NLP,2024,4,4.4517665,3.7142446,0,True,green
259,Is ChatGPT Fair for Recommendation? Evaluating Fairness in Large Language Model Recommendation,Recommender Systems,2023,5,8.268972,1.9939319,124,False,closed
260,Fairer Preferences Elicit Improved Human-Aligned Large Language Model Judgments,LLMs & NLP,2024,4,4.5809975,3.5446737,0,True,green
