SN,Paper Title,DOI,Domain,Year,umap_x,umap_y,umap_x_minilm,umap_y_minilm,umap_x_mpnet,umap_y_mpnet,umap_x_specter,umap_y_specter,cited_by_count,is_oa,oa_status,oa_url
15,Analysis of Countries in Terms of Artificial Intelligence Technologies: PROMETHEE and GAIA Method Approach,doi.org/10.3390/su15054604,General Fairness & Bias Mitigation,2022,5.242947,3.5193503,8.806541,7.2450943,5.242947,3.5193503,2.937121,5.5121927,23,True,gold,https://www.mdpi.com/2071-1050/15/5/4604/pdf?version=1677924429
16,Evaluation and Mitigation of Racial Bias in Clinical Machine Learning Models: Scoping Review,doi.org/10.2196/36388,Health & Clinical AI,2022,5.8497643,0.8146692,10.192013,8.679758,5.8497643,0.8146692,6.420425,4.4412103,180,True,gold,https://jmir.org/api/download?alt_name=medinform_v10i5e36388_app1.pdf&filename=913eebeab355f3bafc031318200c7560.pdf
17,Towards Debiasing Sentence Representations,doi.org/10.48550/arXiv.2007.08100,LLMs & NLP,2020,2.2175832,5.5490284,9.43717,4.329545,2.2175832,5.5490284,1.8313848,8.075473,7,True,green,https://arxiv.org/pdf/2007.08100
18,Algorithmic Bias in Autonomous Systems,doi.org/10.24963/ijcai.2017/654,General Fairness & Bias Mitigation,2017,5.4262257,4.715208,7.7543516,7.387649,5.4262257,4.715208,2.6408405,5.3319902,440,True,gold,https://www.ijcai.org/proceedings/2017/0654.pdf
19,Meritocratic Fairness for Infinite and Contextual Bandits,doi.org/10.1145/3278721.3278764,General Fairness & Bias Mitigation,2018,7.1380377,6.0103893,5.3275514,6.7130904,7.1380377,6.0103893,-1.2507291,7.2674856,21,False,closed,
20,Trustworthy AI: A Computational Perspective,doi.org/10.48550/arXiv.2107.06641,General Fairness & Bias Mitigation,2022,5.5024867,4.252619,7.3030343,6.145925,5.5024867,4.252619,2.8181746,5.384291,2,True,green,https://arxiv.org/pdf/2107.06641
21,A Survey on Datasets for Fairness-Aware ML,doi.org/10.48550/arXiv.2110.00530,General Fairness & Bias Mitigation,2021,6.516809,5.7542505,6.6077747,6.4036827,6.516809,5.7542505,1.9837828,3.0556722,12,True,green,https://doi.org/10.48550/arxiv.2110.00530
22,A Comprehensive Empirical Study of Bias Mitigation Methods for Machine Learning Classifiers,doi.org/10.48550/arXiv.2207.03277,General Fairness & Bias Mitigation,2023,6.1294727,5.74744,6.3496675,6.2706437,6.1294727,5.74744,2.240553,4.4845576,13,True,green,https://arxiv.org/pdf/2207.03277
23,Ignorance and Prejudice in Software Fairness,doi.org/10.1109/ICSE43902.2021.00129,General Fairness & Bias Mitigation,2021,6.5155582,5.498243,6.15414,6.5045524,6.5155582,5.498243,2.1993966,4.3709164,69,True,green,https://discovery.ucl.ac.uk/10123814/1/ICSE2021__Ignorance_Prejudice%20%285%29.pdf
24,Removing Biased Data to Improve Fairness and Accuracy,doi.org/10.48550/arXiv.2102.03054,General Fairness & Bias Mitigation,2021,6.0007744,5.8641453,6.719124,6.0598345,6.0007744,5.8641453,1.0492415,3.2693367,10,True,green,https://arxiv.org/pdf/2102.03054
25,FAIR MIXUP: Fairness via Interpolation,doi.org/10.48550/arXiv.2103.06503,General Fairness & Bias Mitigation,2021,6.754236,6.2781086,6.094978,6.06954,6.754236,6.2781086,1.9228526,2.128587,11,True,green,https://arxiv.org/pdf/2103.06503
26,Mitigating Unwanted Biases with Adversarial Learning,doi.org/10.48550/arXiv.1801.07593,General Fairness & Bias Mitigation,2018,6.562254,5.8406334,6.74997,5.69104,6.562254,5.8406334,1.4418917,3.6153588,98,True,gold,https://dl.acm.org/doi/pdf/10.1145/3278721.3278779
27,Black Box Fairness Testing of Machine Learning Models,doi.org/10.1145/3338906.3338937,General Fairness & Bias Mitigation,2019,5.925557,5.3403816,7.0028086,6.3183994,5.925557,5.3403816,2.6688902,5.2139726,180,False,closed,
28,MAAT: A Novel Ensemble Approach to Addressing Fairness and Performance Bugs for Machine Learning Software,doi.org/10.1145/3540250.3549093,General Fairness & Bias Mitigation,2023,6.1640325,5.708115,6.178008,6.3881745,6.1640325,5.708115,2.2099133,4.47686,59,True,green,https://discovery.ucl.ac.uk/10152903/1/FSE22_Fairness.pdf
29,Fairea: A Model Behaviour Mutation Approach to Benchmarking Bias Mitigation Methods,doi.org/10.1145/3468264.3468565,General Fairness & Bias Mitigation,2021,6.0862494,5.7051883,6.3455043,6.2619576,6.0862494,5.7051883,2.2193346,4.56805,68,True,green,https://discovery.ucl.ac.uk/10130186/1/Fairea-rps.pdf
30,Machine Learning Fairness Notions: Bridging the Gap with Real-World Applications,doi.org/10.1016/j.ipm.2021.102642,General Fairness & Bias Mitigation,2021,5.965498,0.7086859,10.474105,8.805923,5.965498,0.7086859,6.426791,4.5574694,53,True,bronze,https://www.sciencedirect.com/science/article/am/pii/S0306457321001321?via%3Dihub
31,A Survey on Bias and Fairness in Machine Learning,doi.org/10.48550/arXiv.1908.09635,General Fairness & Bias Mitigation,2021,6.29829,5.282027,7.2221656,6.4238,6.29829,5.282027,2.7710037,5.1190557,317,True,green,https://arxiv.org/pdf/1908.09635
32,A Review on Fairness in Machine Learning,doi.org/10.1145/3494672,General Fairness & Bias Mitigation,2022,6.700455,5.3514156,6.4213734,7.1033807,6.700455,5.3514156,1.93057,3.1423256,527,False,closed,
33,Fairness and Machine Learning: Limitations and Opportunities,,General Fairness & Bias Mitigation,2023,6.7476616,4.8773336,6.7028756,5.950378,6.7476616,4.8773336,2.9634206,3.2435293,0,,,
34,Reconciling Modern Machine Learning Practice and the Bias-Variance Trade-Off,doi.org/10.48550/arXiv.1812.11118,General Fairness & Bias Mitigation,2019,5.6158895,6.022626,6.694614,5.8775334,5.6158895,6.022626,1.075893,3.2523413,83,True,green,http://export.arxiv.org/pdf/1812.11118
35,Fairness-Driven Private Collaborative Machine Learning,doi.org/10.48550/arXiv.2109.14376,General Fairness & Bias Mitigation,2021,6.399168,6.5953465,9.734258,6.8458414,6.399168,6.5953465,1.3625416,2.6226485,0,True,green,https://doi.org/10.48550/arxiv.2109.14376
36,Fairness in Machine Learning,doi.org/10.1007/978-3-030-43883-8_7,General Fairness & Bias Mitigation,2020,6.104297,5.016053,7.560823,6.567184,6.104297,5.016053,3.3935428,3.9220788,298,True,green,https://arxiv.org/pdf/2012.15816
37,Fairness-Aware Explainable Recommendation over Knowledge Graphs,doi.org/10.1145/3397271.3401051,Recommender Systems,2020,10.403789,6.0918393,5.2978997,3.154126,10.403789,6.0918393,-1.9303726,7.6578665,189,False,closed,
38,Big Data's Disparate Impact,doi.org/10.2139/ssrn.2477899,General Fairness & Bias Mitigation,2016,5.147834,1.0312927,10.30246,7.984629,5.147834,1.0312927,6.1130743,5.978316,2128,True,green,https://doi.org/10.2139/ssrn.2477899
39,Men Also Like Shopping: Reducing Gender Bias Amplification Using Corpus-Level Constraints,doi.org/10.48550/arXiv.1707.09457,LLMs & NLP,2017,3.5181496,6.3067346,7.908127,4.5887475,3.5181496,6.3067346,0.51517576,5.4390583,124,True,green,https://arxiv.org/pdf/1707.09457
40,Certifying and Removing Disparate Impact,doi.org/10.1145/2783258.2783311,General Fairness & Bias Mitigation,2015,6.509526,4.4097543,7.2593036,7.765707,6.509526,4.4097543,3.4797196,2.7967582,1767,False,closed,
41,Integrating Behavioral Economic and Technical Insights to Address Algorithmic Bias,doi.org/10.1145/3519420,General Fairness & Bias Mitigation,2022,6.3149934,5.033408,6.6207457,6.8921423,6.3149934,5.033408,2.0294297,3.248429,23,False,closed,
42,Fairness in Recommendation: Foundations Methods and Applications,doi.org/10.1145/3610302,Recommender Systems,2023,10.503755,5.828377,5.015989,3.2066982,10.503755,5.828377,-1.8614281,7.2980537,83,False,closed,
43,A Survey on Trustworthy Recommender Systems,doi.org/10.1145/3652891,Recommender Systems,2024,10.46776,6.0706816,4.9587026,2.685197,10.46776,6.0706816,-1.6820413,7.6608152,63,True,hybrid,https://dl.acm.org/doi/pdf/10.1145/3652891
44,A Comprehensive Survey on Trustworthy Recommender Systems,doi.org/10.48550/arXiv.2209.10117,Recommender Systems,2022,10.565125,6.031858,4.954207,2.6699286,10.565125,6.031858,-1.6371539,7.6560597,15,True,green,https://arxiv.org/pdf/2209.10117
45,Towards Personalized Fairness Based on Causal Notion,doi.org/10.1145/3404835.3462966,Recommender Systems,2021,10.482186,6.0563974,5.145611,2.9475973,10.482186,6.0563974,-2.330475,7.8085146,133,True,gold,https://dl.acm.org/doi/pdf/10.1145/3404835.3462966
46,Explainable Recommender Systems with Knowledge Graphs and Language Models,doi.org/10.1007/978-3-031-56069-9_46,Recommender Systems,2024,5.8384037,0.58160496,10.45907,8.772042,5.8384037,0.58160496,6.4744773,4.7105737,4,False,closed,
47,Knowledge Graphs and Explainable AI in Healthcare,doi.org/10.3390/info13100459,Health & Clinical AI,2022,4.7843084,1.4752822,10.559415,7.631515,4.7843084,1.4752822,5.7423353,5.6186714,44,True,gold,https://www.mdpi.com/2078-2489/13/10/459/pdf?version=1666581758
48,Constructing Knowledge Graphs and Their Biomedical Applications,doi.org/10.1016/j.csbj.2020.05.017,Health & Clinical AI,2020,4.7558722,1.4329361,10.742642,7.55993,4.7558722,1.4329361,3.2346306,8.926544,267,True,gold,https://doi.org/10.1016/j.csbj.2020.05.017
49,Algorithmic Fairness Datasets: The Story So Far,doi.org/10.1007/s10618-022-00854-z,General Fairness & Bias Mitigation,2022,7.0413632,4.616804,6.95797,6.5093217,7.0413632,4.616804,2.6753035,3.1959956,1,True,hybrid,https://link.springer.com/content/pdf/10.1007/s10618-022-00854-z.pdf
50,Review of Mathematical Frameworks for Fairness in Machine Learning,doi.org/10.48550/arXiv.2005.13755,General Fairness & Bias Mitigation,2020,7.2328687,6.014255,5.5265245,6.9944067,7.2328687,6.014255,2.097944,2.5546966,20,True,green,https://arxiv.org/pdf/2005.13755
51,Did You Do Your Homework? Raising Awareness on Software Fairness and Discrimination,10.1109/ASE51524.2021.9678568,General Fairness & Bias Mitigation,2021,6.530435,5.577096,6.0772443,7.259431,6.530435,5.577096,1.8677119,3.2362711,16,True,green,https://discovery.ucl.ac.uk/10133603/1/ASE2021_NIER-Antiprotected.pdf
52,Fairness in Machine Learning: A Survey,10.1145/3616865,General Fairness & Bias Mitigation,2023,6.730425,5.2364244,5.9897003,7.044291,6.730425,5.2364244,1.5662768,3.417994,433,True,hybrid,https://dl.acm.org/doi/pdf/10.1145/3616865
53,Privileged and Unprivileged Groups: An Empirical Study on the Impact of the Age Attribute on Fairness,doi.org/10.1145/3524491.3527308,General Fairness & Bias Mitigation,2022,6.796135,5.31313,5.799157,6.7789464,6.796135,5.31313,2.1631281,4.4808774,5,True,gold,https://dl.acm.org/doi/pdf/10.1145/3524491.3527308
54,Fairway: A Way to Build Fair ML Software,doi.org/10.1145/3368089.3409697,General Fairness & Bias Mitigation,2020,5.8970017,5.4191413,6.953426,6.2470813,5.8970017,5.4191413,2.3340263,4.7204294,119,True,green,https://arxiv.org/pdf/2003.10354
55,Do the Machine Learning Models on a Crowd-Sourced Platform Exhibit Bias?,doi.org/10.5281/zenodo.3912064,General Fairness & Bias Mitigation,2020,6.3812795,6.050851,6.3387685,6.429904,6.3812795,6.050851,1.4772114,3.2431526,2,True,green,
56,Fair Preprocessing: Understanding Compositional Fairness of Data Transformers in ML Pipeline,doi.org/10.1145/3468264.3468536,General Fairness & Bias Mitigation,2021,6.5639114,5.6213775,6.158998,6.486503,6.5639114,5.6213775,2.0850177,2.8708537,94,True,gold,https://dl.acm.org/doi/pdf/10.1145/3468264.3468536
57,Bias in Machine Learning Software: Why? How? What to Do?,doi.org/10.1145/3468264.3468537,General Fairness & Bias Mitigation,2021,6.662695,5.928557,6.137185,6.3104434,6.662695,5.928557,2.2796593,4.435459,166,True,green,https://arxiv.org/pdf/2105.12195
58,Fairness-Aware Machine Learning: An Extensive Overview,,General Fairness & Bias Mitigation,2020,7.038287,6.1332583,5.778081,6.5375967,7.038287,6.1332583,1.6807088,2.8010635,0,,,
59,An Information Theoretic Approach to Reducing Algorithmic Bias for Machine Learning,doi.org/10.1016/j.neucom.2021.09.081,General Fairness & Bias Mitigation,2022,5.208743,1.0286764,10.364222,8.1271105,5.208743,1.0286764,6.087561,5.9582667,25,False,closed,
60,Representation Bias in Data: A Survey on Identification and Resolution Techniques,doi.org/10.1145/3588433,General Fairness & Bias Mitigation,2023,6.4286876,5.897188,7.541565,6.4535213,6.4286876,5.897188,0.99829185,3.7056885,101,False,closed,
61,Algorithmic Fairness,doi.org/10.1007/978-3-031-24628-9_37,General Fairness & Bias Mitigation,2020,6.083012,4.796519,6.8062534,6.23601,6.083012,4.796519,2.5660825,3.4425921,7,True,green,https://arxiv.org/pdf/2001.09784
62,A Survey on Fairness for Machine Learning on Graphs,doi.org/10.48550/arXiv.2205.05396,Graph-Based Fairness & Bias Mitigation,2024,9.418458,6.2005277,5.613382,3.9909198,9.418458,6.2005277,-1.8172851,4.9169545,3,True,green,https://arxiv.org/pdf/2205.05396
63,Slice Tuner: A Selective Data Acquisition Framework for Fair ML Models,doi.org/10.1145/3448016.3452792,General Fairness & Bias Mitigation,2021,6.3948507,6.0804477,6.5012813,5.9189243,6.3948507,6.0804477,2.181513,4.4642897,31,False,closed,
64,Optimized Score Transformation for Consistent Fair Classification,doi.org/10.48550/arXiv.1906.00066,General Fairness & Bias Mitigation,2021,7.1529903,6.047254,5.617055,6.423962,7.1529903,6.047254,2.276153,2.0478935,1,True,green,https://arxiv.org/pdf/1906.00066
65,Counterfactual Fairness,doi.org/10.48550/arXiv.1703.06856,General Fairness & Bias Mitigation,2017,6.8591027,4.972358,6.2604403,7.269934,6.8591027,4.972358,2.5906832,2.865188,870,True,green,https://arxiv.org/pdf/1703.06856
66,Algorithmic Fairness: Choices Assumptions and Definitions,doi.org/10.1146/annurev-statistics-042720-125902,General Fairness & Bias Mitigation,2021,7.033331,5.3163404,5.6606107,6.8546095,7.033331,5.3163404,2.1936383,2.5462716,556,True,hybrid,https://www.annualreviews.org/doi/pdf/10.1146/annurev-statistics-042720-125902
67,On the Applicability of Machine Learning Fairness Notions,doi.org/10.1145/3468507.3468511,General Fairness & Bias Mitigation,2021,7.057325,5.242793,5.90433,7.116371,7.057325,5.242793,2.3168874,2.7797723,9,True,green,https://arxiv.org/pdf/2006.16745.pdf
68,Approval of AI/ML-Based Medical Devices in USA & Europe,10.1016/S2589-7500(20)30292-2,Health & Clinical AI,2021,5.0037236,0.9734809,10.337106,7.790808,5.0037236,0.9734809,6.371443,5.7341056,623,True,gold,http://www.thelancet.com/article/S2589750020302922/pdf
69,AI in Medicine: Structural Challenges in Improving Patient Care,10.1016/j.xcrm.2022.100622,Health & Clinical AI,2022,5.0277605,1.2633672,10.158766,7.865884,5.0277605,1.2633672,5.9953547,6.035683,69,True,gold,https://doi.org/10.1016/j.xcrm.2022.100622
70,FDA-Approved ML Algorithms in Neuroradiology,10.1016/j.artmed.2023.102607,Health & Clinical AI,2023,2.5049536,5.968959,9.200813,3.8222485,2.5049536,5.968959,2.443672,8.900926,17,False,closed,
71,Data Drift in Medical ML: Implications and Remedies,10.1259/bjr.20220878,Health & Clinical AI,2023,4.9943647,0.34905314,10.851196,7.867727,4.9943647,0.34905314,1.0341277,3.2577612,189,True,bronze,https://academic.oup.com/bjr/article-pdf/96/1150/20220878/57370848/bjr.20220878.pdf
72,Recommendations on compiling test datasets for evaluating artificial intelligence solutions in pathology,https://doi.org/10.1038/s41379-022-01147-y,Health & Clinical AI,2022,5.007714,0.29990587,10.974704,8.043529,5.007714,0.29990587,6.750412,5.5011225,66,True,hybrid,http://mp.uscap.org/article/S0893395222054874/pdf
73,Shifting ML in Healthcare: From Development to Deployment,doi.org/10.1038/s41551-022-00898-y,Health & Clinical AI,2022,4.9469514,0.43813184,10.901818,7.752035,4.9469514,0.43813184,5.156254,6.392415,389,True,hybrid,https://www.nature.com/articles/s41551-022-00898-y.pdf
74,Towards a Fair Marketplace: Fairness & Satisfaction in Recommender Systems,doi.org/10.1145/3269206.3272027,Recommender Systems,2022,10.918068,5.8015437,4.9328227,2.680269,10.918068,5.8015437,-1.6716528,8.025718,274,False,closed,
75,A Survey on Fairness in Large Language Models,doi.org/10.48550/arXiv.2308.1014,LLMs & NLP,2023,2.6652238,5.9413877,9.0416765,3.4972353,2.6652238,5.9413877,2.4922583,9.317771,21,True,green,https://arxiv.org/pdf/2308.10149
76,Bias and Fairness in Large Language Models: A Survey,doi.org/10.1162/coli_a_00524,LLMs & NLP,2024,2.5637941,5.647153,9.0237055,3.906833,2.5637941,5.647153,2.1470373,8.857654,476,True,diamond,https://direct.mit.edu/coli/article-pdf/doi/10.1162/coli_a_00524/2381177/coli_a_00524.pdf
77,Investigating Bias in LLM-Based Bias Detection: Disparities between LLMs and Human Perception,doi.org/10.48550/arXiv.2403.14896,LLMs & NLP,2024,3.0757475,5.5219874,9.0985565,3.8442142,3.0757475,5.5219874,1.8436153,8.549215,22,True,green,https://arxiv.org/pdf/2403.14896
78,Systematic Biases in LLM Simulations of Debates,doi.org/10.18653/v1/2024.emnlp-main.16,LLMs & NLP,2024,2.554228,5.651272,9.25041,3.8987856,2.554228,5.651272,2.2730873,8.232728,37,True,gold,https://aclanthology.org/2024.emnlp-main.16.pdf
79,Kelly is a Warm Person Joseph is a Role Model: Gender Biases in LLM-Generated Reference Letters,doi.org/10.48550/arXiv.2310.09219,LLMs & NLP,2023,2.3805377,5.4980597,9.782749,3.7547197,2.3805377,5.4980597,1.4012344,8.724346,17,True,green,https://arxiv.org/pdf/2310.09219
80,Justice or Prejudice? Quantifying Biases in LLM-as-a-Judge,doi.org/10.48550/arXiv.2410.02736,LLMs & NLP,2024,2.4665296,6.3351316,9.438958,2.984024,2.4665296,6.3351316,2.3674603,9.242436,6,True,green,https://arxiv.org/pdf/2410.02736
81,Bias and Unfairness in Information Retrieval Systems: New Challenges in the LLM Era,doi.org/10.1145/3637528.3671458,LLMs & NLP,2024,2.8530462,6.0897675,8.595778,3.2096314,2.8530462,6.0897675,2.0036418,9.234035,98,True,gold,https://dl.acm.org/doi/pdf/10.1145/3637528.3671458
82,Probing Explicit and Implicit Gender Bias through LLM Conditional Text Generation,doi.org/10.48550/arXiv.2311.00306,LLMs & NLP,2023,2.2741618,5.5751505,9.744423,3.8579152,2.2741618,5.5751505,2.205789,7.8570375,8,True,green,https://arxiv.org/pdf/2311.00306
83,On the Independence of Association Bias and Empirical Fairness in Language Models,https://doi.org/10.48550/arXiv.2304.10153,LLMs & NLP,2023,2.483319,5.562379,9.1344,3.6163468,2.483319,5.562379,2.1016893,7.781078,0,True,green,https://arxiv.org/pdf/2304.10153
84,Fairness in Large Language Models: A Taxonomic Survey,doi.org/10.1145/3682112.3682117,LLMs & NLP,2023,2.6431847,5.9493365,8.997823,3.5476537,2.6431847,5.9493365,2.6270432,9.115665,54,False,closed,
85,Survey on Factuality in Large Language Models: Knowledge Retrieval and Domain-Specificity,doi.org/10.48550/arXiv.2310.07521,LLMs & NLP,2024,2.4200568,6.302342,9.429606,2.9567769,2.4200568,6.302342,2.091351,9.374848,53,True,green,https://arxiv.org/pdf/2310.07521
86,A Survey of Large Language Models in Medicine: Progress Application and Challenge,doi.org/10.48550/arXiv.2311.05112,LLMs & NLP,2023,4.205251,1.584556,10.675147,6.645884,4.205251,1.584556,3.1001742,8.95287,37,True,green,https://arxiv.org/pdf/2311.05112
87,Creating Trustworthy LLMs: Dealing with Hallucinations in Healthcare AI,doi.org/10.48550/arXiv.2311.01463,LLMs & NLP,2023,4.26118,1.6199133,10.640922,6.563471,4.26118,1.6199133,3.078885,8.328391,17,True,green,https://arxiv.org/pdf/2311.01463
88,Risk Taxonomy Mitigation and Assessment Benchmarks of Large Language Model Systems,doi.org/10.48550/arXiv.2401.05778,LLMs & NLP,2023,2.4061155,6.3878293,9.256483,3.1917677,2.4061155,6.3878293,2.6297321,9.183827,13,True,green,https://arxiv.org/pdf/2401.05778
89,Large Language Models in Healthcare and Medical Domain: A Review,doi.org/10.3390/informatics11030057,LLMs & NLP,2024,4.1910367,1.6670754,10.694724,6.6775026,4.1910367,1.6670754,3.182452,8.8373,321,True,gold,https://www.mdpi.com/2227-9709/11/3/57/pdf?version=1723020841
90,Understanding Asian Stereotyping and Bias in LLMs,,LLMs & NLP,2024,2.6207097,5.286647,9.310478,4.151671,2.6207097,5.286647,2.1891787,8.3246155,0,,,
91,Evaluating Interfaced LLM Bias,,LLMs & NLP,2023,2.4811018,6.1082907,9.253319,3.6103876,2.4811018,6.1082907,2.5283058,8.854065,0,,,
92,Intentional Biases in LLM Responses,doi.org/10.1109/UEMCON59035.2023.10316060,LLMs & NLP,2023,2.577265,5.6700053,9.318499,3.854655,2.577265,5.6700053,2.1387691,8.218563,9,False,closed,
93,Unequal Opportunities: Examining the Bias in Geographical Recommendations by Large Language Models,doi.org/10.1145/3708359.3712111,LLMs & NLP,2025,5.5061917,1.0873545,9.985207,8.341818,5.5061917,1.0873545,6.061953,5.076429,7,True,gold,https://doi.org/10.1145/3708359.3712111
94,Bias in data-driven artificial intelligence systems—An introductory survey (2nd entry),https://doi.org/10.1002/widm.1356,Graph-Based Fairness & Bias Mitigation,2020,5.7030516,4.633764,7.7381024,6.810208,5.7030516,4.633764,2.7028496,5.5008926,976,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/widm.1356
95,Contextual knowledge graph approach to bias-reduced decision support systems,https://doi.org/10.1080/12460125.2024.2349436,Graph-Based Fairness & Bias Mitigation,2024,5.999889,5.1369257,6.9343867,6.429952,5.999889,5.1369257,2.813167,5.0736203,5,True,bronze,https://www.tandfonline.com/doi/pdf/10.1080/12460125.2024.2349436?download=true
96,Detecting and Mitigating Bias in LLMs through Knowledge Graph-Augmented Training,https://doi.org/10.48550/arXiv.2504.00310,Graph-Based Fairness & Bias Mitigation,2025,2.2670584,5.622996,9.220738,4.396533,2.2670584,5.622996,2.3181522,9.042914,0,True,green,https://arxiv.org/pdf/2504.00310
97,StereoKG: Data-Driven Knowledge Graph Construction For Cultural Knowledge and Stereotypes,https://doi.org/10.18653/v1/2022.woah-1.7,Graph-Based Fairness & Bias Mitigation,2022,2.851498,5.2588305,9.110432,4.2705474,2.851498,5.2588305,1.7452494,8.117982,8,True,gold,https://aclanthology.org/2022.woah-1.7.pdf
98,Visual Affect Around the World,https://doi.org/10.1145/2733373.2806246,Graph-Based Fairness & Bias Mitigation,2015,3.6917415,5.943511,7.986176,4.404074,3.6917415,5.943511,0.4603977,5.528169,96,True,gold,https://dl.acm.org/doi/pdf/10.1145/2733373.2806246
99,Semantics of the Black-Box: Can knowledge graphs help make deep learning systems more interpretable and explainable?,https://doi.org/10.48550/arXiv.2010.08660,Graph-Based Fairness & Bias Mitigation,2020,5.6909275,3.4207013,8.207773,5.8458357,5.6909275,3.4207013,5.01568,6.406376,0,True,green,https://arxiv.org/pdf/2010.08660
100,Leveraging Structural Causal Models for Bias Detection and Feature Adjustment in Machine Learning Predictions,https://doi.org/10.1109/is61756.2024.10705239,Graph-Based Fairness & Bias Mitigation,2024,6.045589,4.908282,6.638436,6.610803,6.045589,4.908282,3.2961774,4.557669,1,False,closed,
101,Gender Bias Analysis in Commonsense Knowledge Graph Embeddings,https://doi.org/10.1109/kse59128.2023.10299485,Graph-Based Fairness & Bias Mitigation,2023,2.0083885,5.458641,9.212848,4.4717565,2.0083885,5.458641,3.0040343,8.850821,1,False,closed,
